base_id,image_count,original_image_count,augmented_image_count,class_ids,group_id,split_group_id,assigned_split,supplied_splits,paths
esp_011283_2265_red-0013,7,1,6,0,09c1398b6d908635,ec242de5a610deda,train,train,"[""map-proj-v3_2/ESP_011283_2265_RED-0013-brt.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0013-fh.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0013-fv.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0013-r180.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0013-r270.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0013-r90.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0013.jpg""]"
esp_011283_2265_red-0017,7,1,6,0,9450858c7ff39b25,ec242de5a610deda,train,train,"[""map-proj-v3_2/ESP_011283_2265_RED-0017-brt.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0017-fh.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0017-fv.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0017-r180.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0017-r270.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0017-r90.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0017.jpg""]"
esp_011283_2265_red-0030,7,1,6,0,f19a2816b2053f51,ec242de5a610deda,train,train,"[""map-proj-v3_2/ESP_011283_2265_RED-0030-brt.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0030-fh.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0030-fv.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0030-r180.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0030-r270.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0030-r90.jpg"", ""map-proj-v3_2/ESP_011283_2265_RED-0030.jpg""]"
esp_011289_1950_red-0009,1,1,0,3,5d94c7f5f67281d4,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0009.jpg""]"
esp_011289_1950_red-0015,1,1,0,0,33e2fd224decf9e8,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0015.jpg""]"
esp_011289_1950_red-0018,1,1,0,0,6725a39cd80f4e88,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0018.jpg""]"
esp_011289_1950_red-0021,1,1,0,0,bbf54abbbac19467,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0021.jpg""]"
esp_011289_1950_red-0023,1,1,0,0,01100246074cebbf,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0023.jpg""]"
esp_011289_1950_red-0024,1,1,0,0,ddcecf8c84588ce6,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0024.jpg""]"
esp_011289_1950_red-0026,1,1,0,0,ca1f0bbbdb1ac154,99c2c4faf44c06e8,train,test,"[""map-proj-v3_2/ESP_011289_1950_RED-0026.jpg""]"
