path,status,error,format,width,height,mode,channels,frames,label,class_name,original_split,base_id,augmentations,sha256,pixel_sha256,phash,mean,std,group_id,flags,class_id,source_id,supplied_splits,supplied_row_count,supplied_split_row_counts,assigned_split,split_group_id,is_original,origin,is_anomaly,image_path
map-proj-v3_2/ESP_020133_1720_RED-0022.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,other,val,esp_020133_1720_red-0022,[],0392398d14c953f597b15d28c86dba4474963cc337f7bb59f196af71f5e7011f,8905df5f0bb243bb617c753f408cd8e5838e9cfd25f3fe79ecf7ecdf48837244,c7f81b724c863993,164.4439635933164,13.31468515535648,5936c43507846e13,[],0.0,esp_020133_1720,['val'],1.0,Counter({'val': 1}),test,59ea2b45b332c92d,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_020133_1720_RED-0022.jpg
map-proj-v3_2/PSP_006766_1850_RED-0037.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,crater,train,psp_006766_1850_red-0037,[],06aa7d85966895c2f30b6833ff82c1be68b341aae79febbcfa9ff0d7b4b87d2d,2ffa3828849b8703568ee04c2b7857da26d27ae0da409e2fb935b8baa3b777a0,d24b996c65d99706,104.93036930660404,62.140194370711605,42723c2a3a08d9c8,[],1.0,psp_006766_1850,['train'],1.0,Counter({'train': 1}),test,ad1e3cd913b8aecb,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\PSP_006766_1850_RED-0037.jpg
map-proj-v3_2/ESP_019559_1390_RED-0576.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,dark dune,train,esp_019559_1390_red-0576,[],c578839acab68fc399d8bab96cf8c60b4605267c925c89e923c14bbac91be1ea,de94808f4321797bbe6f7dabffc662d01e56db0b2eaa6494a7719c922f5f93a3,da950ab5ee393682,121.4917425139242,25.9707082509997,c3cd077d684e7268,[],2.0,esp_019559_1390,['train'],1.0,Counter({'train': 1}),test,5d6e98f4490839ab,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_019559_1390_RED-0576.jpg
map-proj-v3_2/ESP_016781_2055_RED-0188.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,slope streak,train,esp_016781_2055_red-0188,[],4305c616127c75721314e118808daaa16004d9cd773012c7a4280591e3b1093a,b2c4ab0ce98c5eafbcab714b630c717549df95f6b15a94465a851af149a47151,db09ff0077c0fe01,57.13883444274098,44.42025366120362,9e68b62d1f634ef0,[],3.0,esp_016781_2055,['train'],1.0,Counter({'train': 1}),test,3b546f3c149bec5e,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_016781_2055_RED-0188.jpg
map-proj-v3_2/ESP_016613_2570_RED-0034.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,bright dune,test,esp_016613_2570_red-0034,[],691d929689f7437eb7263fbc5b62fe4cffd55d8e6714aeee4bf71b11e8ecf108,75d0945ffc2f1ee44b2115e9132be434be186f83a6a944c96c629810199c868f,f366cc8e712370cc,204.67657047487825,17.22112457381222,c7a1b6424b7e617a,[],4.0,esp_016613_2570,['test'],1.0,Counter({'test': 1}),test,22696c5952c42e43,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_016613_2570_RED-0034.jpg
map-proj-v3_2/ESP_017395_1700_RED-0007.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,impact ejecta,train,esp_017395_1700_red-0007,[],7dfc497751a6f558f3252a98b48976160b85d7c401e6d0863748105422ca3bb7,e74b85e76d4dd0cf06b93f5e1cde74c840995aef28da414be4baaeeaea513c84,e6b3998c46d8e323,88.45124104872984,16.82672557606031,3f56454eea6cbead,[],5.0,esp_017395_1700,['train'],2.0,Counter({'train': 2}),test,83aa4045df637967,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_017395_1700_RED-0007.jpg
map-proj-v3_2/ESP_012057_0950_RED-0111.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,swiss cheese,val,esp_012057_0950_red-0111,[],777c6feedbdf02c216b609395bf0a4caa7e338731a7bd976341ae0cd67aadff5,1c1addd7d362920c5761e01c4505436137d128d2598b58d7e2a874cfeaf75383,a2010927337b6df7,123.44019872304916,11.718805226620647,2b311305bd22a0c3,[],6.0,esp_012057_0950,['val'],2.0,Counter({'val': 2}),test,a77165d00d1fed49,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_012057_0950_RED-0111.jpg
map-proj-v3_2/ESP_049651_1050_RED-0070.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,spider,train,esp_049651_1050_red-0070,[],7e6cd3d22e79ac4535e9e2d6cf1ad535fbfd5916e12b4654ff4de42d15e30d09,7208a42df3d9673c13da4502f05be899874f05606cd39bc000009f36dac3e4cc,a934cb3763a69a38,152.42752624735587,15.582734888143534,3b6db7d58330cc86,[],7.0,esp_049651_1050,['train'],1.0,Counter({'train': 1}),test,3aa2a227e3baa339,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_049651_1050_RED-0070.jpg
map-proj-v3_2/PSP_006766_1850_RED-0101.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,other,train,psp_006766_1850_red-0101,[],866b872da1e6fff5bd8b802fec51b9980fe4345604a0c6988011e9e4dc1e97fe,ab7ca80c75ff0c66563c1a06155462ca5313ad1cc7cff5e0d7973fcde29a9963,ca89315266a7bb5a,145.77205068990278,17.415268967982808,3e5859dcc22e00d5,[],0.0,psp_006766_1850,['train'],1.0,Counter({'train': 1}),test,ad1e3cd913b8aecb,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\PSP_006766_1850_RED-0101.jpg
map-proj-v3_2/ESP_016148_2040_RED-0097.jpg,ok,,JPEG,227.0,227.0,L,1.0,1.0,normal,crater,train,esp_016148_2040_red-0097,[],641fefb6f28ab6e7d773b30b799867ae35b316ed39262826fad2fcb9432d312f,037dab629d2374cf0fa861d44dd6adfbbd466dc5fe8defbee2291d0b60a02ec0,db93246cd331ec4c,169.07523918570126,15.85183959429013,012b2dde458c91b5,[],1.0,esp_016148_2040,['train'],1.0,Counter({'train': 1}),test,57c68b4a4db96233,True,hirise_clean,0,C:\Users\deves\OneDrive\Desktop\Projects\TCMD-SS\data\raw\hirise_v3_2\map-proj-v3_2\ESP_016148_2040_RED-0097.jpg
